epoch;acc;loss;lr;val_acc;val_loss
0;0.72975;0.788922627350688;0.001;0.0966;4.069910350418091
1;0.7906;0.6053632981568575;0.001;0.0966;3.955063893890381
2;0.801775;0.5746021496862173;0.001;0.0966;4.335328044509888
3;0.810025;0.5519602883562446;0.001;0.0966;4.629385712051391
4;0.811025;0.5400615439355373;0.001;0.0966;4.481825743103028
5;0.819325;0.5289590594008565;0.001;0.0966;4.563287916564941
6;0.81705;0.5305443996459246;0.001;0.0966;4.569002770233154
7;0.81975;0.5202878602966666;0.001;0.0966;4.629382933044433
8;0.8298;0.4892264842629433;0.000100000005;0.0966;4.6537789478302
9;0.83555;0.4770852357961237;0.000100000005;0.0966;4.673712827682495
10;0.83315;0.4805377211384475;0.000100000005;0.0966;4.557628262329102
11;0.8322;0.47798009895384314;0.000100000005;0.0966;4.581350070953369
0;0.8822;0.34121146529037505;0.001;0.9302;0.20466203332543373
1;0.94145;0.16971634041126818;0.001;0.946;0.15774774524252863
2;0.9636;0.10656858687766362;0.001;0.9475;0.15309581304602324
3;0.976725;0.06952106547600125;0.001;0.9522;0.14801856242036446
4;0.984675;0.04993545857258141;0.001;0.9527;0.14517933659693227
5;0.9899;0.034495651403663216;0.001;0.9529;0.15071573750427925
6;0.9928;0.026985565393866272;0.001;0.9545;0.15327454525126377
7;0.994775;0.021606945947752684;0.001;0.9551;0.14991910687116905
8;0.995525;0.01769279334571911;0.001;0.9568;0.15302177685919452
9;0.996775;0.014075014714805002;0.001;0.9558;0.15586584181836807
10;0.9972;0.012521253450289078;0.001;0.9571;0.1535781534728012
11;0.997975;0.010231484073017782;0.000100000005;0.9568;0.1552576796618523
12;0.997775;0.010090086386671464;0.000100000005;0.9573;0.15377288708057604
13;0.9985;0.009079653517960832;0.000100000005;0.9571;0.1542436733578099
14;0.998175;0.00895566418436938;0.000100000005;0.957;0.1536467498422775
